日期,測站,測項,0,1,2,3
2014/1/1,豐原,AMB_TEMP,14,13,12,22
2014/1/1,豐原,CH4,1.8,1.8,1.8,1.8
2014/1/1,豐原,CO,0.51,0.41,0.39,0.37
2014/1/2,豐原,AMB_TEMP,16,15,15,14
2014/1/2,豐原,CH4,1.8,1.8,1.8,1.8
2014/1/2,豐原,CO,0.26,0.25,0.28,0.27
2014/1/3,豐原,AMB_TEMP,18,18,24,22
2014/1/3,豐原,CH4,1.8,1.7,1.7,1.8
2014/1/3,豐原,CO,0.32,0.35,0.37,0.31
2014/2/1,豐原,AMB_TEMP,15,14,19,18
2014/2/1,豐原,CH4,1.8,1.8,1.7,1.8
2014/2/1,豐原,CO,0.27,0.26,0.25,0.26
2014/2/2,豐原,AMB_TEMP,18,17,18,21
2014/2/2,豐原,CH4,1.7,1.7,1.8,1.8
2014/2/2,豐原,CO,0.3,0.25,0.31,0.28
2014/2/3,豐原,AMB_TEMP,20,19,19,18
2014/2/3,豐原,CH4,1.8,1.8,1.7,1.7
2014/2/3,豐原,CO,0.54,0.48,0.39,0.36
2014/3/1,豐原,AMB_TEMP,18,19,21,22
2014/3/1,豐原,CH4,1.8,1.8,1.8,1.8
2014/3/1,豐原,CO,0.39,0.36,0.4,0.39
2014/3/2,豐原,AMB_TEMP,21,20,19,18
2014/3/2,豐原,CH4,1.9,1.8,1.8,1.7
2014/3/2,豐原,CO,0.51,0.44,0.42,0.33
2014/3/3,豐原,AMB_TEMP,14,13,14,15
2014/3/3,豐原,CH4,1.7,1.7,1.8,1.8
2014/3/3,豐原,CO,0.28,0.3,0.34,0.33
